,output_ID,flooded,alerts,t_EB_rate,risk
183,79201.0,0.25,0.25,0.2144252742536152,medium
184,79201.0,0.0,0.0,0.5728838522074114,high
185,79210.0,0.0,0.0,0.012394877304670258,low
186,79210.0,0.016129032258064516,0.016129032258064516,0.010105528843010123,low
187,79210.0,0.3333333333333333,0.3333333333333333,0.14052805827786102,low
188,79210.0,0.0,0.0,0.1035494113233831,low
189,79210.0,0.0,0.0,0.386786880563717,medium
190,79217.0,0.0,0.0,0.013701061932457289,low
191,79217.0,0.03225806451612903,0.03225806451612903,0.015839372043415373,low
192,79217.0,0.0,0.0,0.13265703295599643,low
193,79217.0,0.125,0.125,0.149239162075496,low
194,79217.0,0.0,0.0,0.48294387647554327,high
195,79238.0,0.07407407407407407,0.1111111111111111,0.05050028546728114,low
196,79238.0,0.0,0.0,0.010537954524426671,low
197,79238.0,0.3333333333333333,0.3333333333333333,0.18004401563357467,medium
198,79238.0,0.5,0.625,0.25519190615608783,medium
199,79238.0,0.0,0.0,0.5017011297751451,high
200,79249.0,0.037037037037037035,0.037037037037037035,0.03736560189765378,low
201,79249.0,0.0,0.0,0.013221063187665217,low
202,79249.0,0.6666666666666666,1.3333333333333333,0.3384432614824456,medium
203,79249.0,0.375,0.625,0.30954942707971744,medium
204,79249.0,0.5,0.5,0.7083736472957592,high
205,79287.0,0.1111111111111111,0.2222222222222222,0.0685870838129161,low
206,79287.0,0.03225806451612903,0.03225806451612903,0.02381503248171531,low
207,79287.0,0.3333333333333333,0.3333333333333333,0.21901224006402778,medium
208,79287.0,0.125,0.375,0.2143706899317493,medium
209,79287.0,0.0,0.0,0.5376753148751772,high
210,79316.0,0.0,0.0,0.010776910163571315,low
211,79316.0,0.0,0.0,0.004886415430869559,low
212,79316.0,0.0,0.0,0.06956524908098746,low
213,79316.0,0.125,0.25,0.0782609052161109,low
214,79316.0,0.0,0.0,0.2773937563103759,medium
215,79346.0,0.0,0.0,0.01834375813396681,low
216,79346.0,0.03225806451612903,0.03225806451612903,0.02456128854096362,low
217,79346.0,0.6666666666666666,0.6666666666666666,0.3130229334500594,medium
218,79346.0,0.25,0.5,0.2533735537465194,medium
219,79346.0,0.0,0.0,0.5684045978767466,high
220,79364.0,0.0,0.0,0.017372914407416232,low
221,79364.0,0.0,0.0,0.011087613591537536,low
222,79364.0,0.6666666666666666,1.0,0.2131692156796683,medium
223,79364.0,0.0,0.0,0.17748762715281846,medium
224,79364.0,0.0,0.0,0.5789110148796851,high
225,79368.0,0.037037037037037035,0.037037037037037035,0.014440094585616141,low
226,79368.0,0.0,0.0,0.0036876816180183582,low
227,79368.0,0.3333333333333333,0.3333333333333333,0.0824721200196204,low
228,79368.0,0.375,0.5,0.09278113502207296,low
229,79368.0,0.0,0.0,0.2375972913387132,medium
230,79413.0,0.0,0.0,0.016914860987376976,low
231,79413.0,0.0,0.0,0.011504532565465917,low
232,79413.0,0.0,0.0,0.1724433383428535,medium
233,79413.0,0.0,0.0,0.19399875563571015,medium
234,79413.0,0.0,0.0,0.6420741047367882,high
235,101277.0,0.14814814814814814,0.2222222222222222,0.09702288370739093,low
236,101277.0,0.03225806451612903,0.03225806451612903,0.027685245110205408,low
237,101277.0,0.3333333333333333,0.3333333333333333,0.3257065347533182,medium
238,101277.0,0.125,0.25,0.2530392011441261,medium
239,101277.0,0.0,0.0,0.6661501855275633,high
240,79420.0,0.07407407407407407,0.07407407407407407,0.0497896299094798,low
241,79420.0,0.016129032258064516,0.016129032258064516,0.017409978917838357,low
242,79420.0,0.6666666666666666,1.3333333333333333,0.30646821887661235,medium
243,79420.0,0.375,0.75,0.2803041820240743,medium
244,79420.0,0.0,0.0,0.5558512334843536,high
